CUSTOMER_ID,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY
1,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
2,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
3,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA
4,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
5,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
6,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
7,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
8,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
9,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
10,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
11,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA
12,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA
13,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA
14,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA
15,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA
16,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA
17,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
18,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
19,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
20,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
21,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
22,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA
23,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA
24,Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA
25,Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA
26,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
27,Diecast Collectables,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA
28,Online Mini Collectables,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA
29,Muscle Machine Inc,2125557413,4092 Furth Circle,Suite 400,NYC,NY,10022,USA
30,Microscale Inc.,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA
31,Boards & Toys Co.,3105552373,4097 Douglas Av.,,Glendale,CA,92561,USA
32,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA
33,Signal Gift Stores,7025551838,8489 Strong St.,,Las Vegas,NV,83030,USA
34,Gift Ideas Corp.,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA
35,Auto-Moto Classics Inc.,6175558428,16780 Pompton St.,,Brickhaven,MA,58339,USA
