CUSTOMER_ID,CUSTOMERNAME,PHONE,ADDRESS_ID
1,Land of Toys Inc.,2125557818,1
2,Reims Collectables,26.47.1555,2
3,Lyon Souveniers,+33 1 46 62 7555,3
4,Toys4GrownUps.com,6265557265,4
5,Corporate Gift Ideas Co.,6505551386,5
6,Technics Stores Inc.,6505556809,6
7,Daedalus Designs Imports,20.16.1555,7
8,Herkku Gifts,+47 2267 3215,8
9,Mini Wheels Co.,6505555787,9
10,Auto Canal Petit,(1) 47.55.6555,10
11,"Australian Collectors, Co.",03 9520 4555,11
12,Vitachrome Inc.,2125551500,12
13,Tekni Collectables Inc.,2015559350,13
14,Gift Depot Inc.,2035552570,14
15,La Rochelle Gifts,40.67.8555,15
16,Marta's Replicas Co.,6175558555,16
17,"Toys of Finland, Co.",90-224 8555,17
18,Baane Mini Imports,07-98 9555,18
19,Diecast Classics Inc.,2155551555,19
20,Salzburg Collectables,6562-9555,20
21,Souveniers And Things Co.,+61 2 9495 8555,21
22,FunGiftIdeas.com,5085552555,22
23,"UK Collectables, Ltd.",(171) 555-2282,23
24,Euro Shopping Channel,(91) 555 94 44,24
25,"Volvo Model Replicas, Co",0921-12 3555,25
26,"Corrida Auto Replicas, Ltd",(91) 555 22 82,26
27,"Dragon Souveniers, Ltd.",+65 221 7555,27
28,Classic Legends Inc.,2125558493,28
29,"Australian Gift Network, Co",61-7-3844-6555,29
30,"Classic Gift Ideas, Inc",2155554695,30
31,"Saveley & Henriot, Co.",78.32.5555,31
32,Canadian Gift Exchange Network,(604) 555-3392,32
33,West Coast Collectables Co.,3105553722,33
34,Cambridge Collectables Co.,6175555555,34
35,Super Scale Inc.,2035559545,35
36,"Tokyo Collectables, Ltd",+81 3 3584 0555,36
37,Amica Models & Co.,011-4988555,37
38,Scandinavian Gift Ideas,0695-34 6555,38
39,Auto Assoc. & Cie.,30.59.8555,39
40,Mini Gifts Distributors Ltd.,4155551450,40
41,Online Diecast Creations Co.,6035558647,41
42,Collectables For Less Inc.,6175558555,42
43,"Anna's Decorations, Ltd",02 9936 8555,43
44,Quebec Home Shopping Network,(514) 555-8054,44
45,Osaka Souveniers Co.,+81 06 6342 5555,45
46,Motor Mint Distributors Inc.,2155559857,46
47,Atelier graphique,40.32.2555,47
48,Mini Classics,9145554562,48
49,Danish Wholesale Imports,31 12 3555,49
50,"Stylish Desk Decors, Co.",(171) 555-0297,50
51,Mini Creations Ltd.,5085559555,51
52,Alpha Cognac,61.77.6555,52
53,"Double Decker Gift Stores, Ltd",(171) 555-7555,53
54,Enaco Distributors,(93) 203 4555,54
55,"Men 'R' US Retailers, Ltd.",2155554369,55
56,Collectable Mini Designs Co.,7605558146,56
57,Petit Auto,(02) 5554 67,57
58,"Royal Canadian Collectables, Ltd.",(604) 555-4555,58
59,Gifts4AllAges.com,6175559555,59
60,giftsbymail.co.uk,(198) 555-8888,60
61,"Oulu Toy Supplies, Inc.",981-443655,61
62,The Sharp Gifts Warehouse,4085553659,62
63,"La Corne D'abondance, Co.",(1) 42.34.2555,63
64,Mini Auto Werke,7675-3555,64
65,Diecast Collectables,6175552555,65
66,Handji Gifts& Co,+65 224 1555,66
67,Cruz & Sons Co.,+63 2 555 3587,67
68,Marseille Mini Autos,91.24.4555,68
69,"Toms Spezialitten, Ltd",0221-5554327,69
70,"Vida Sport, Ltd",0897-034555,70
71,L'ordine Souveniers,0522-556555,71
72,Online Mini Collectables,6175557555,72
73,"Blauer See Auto, Co.",+49 69 66 90 2555,73
74,Suominen Souveniers,+358 9 8045 555,74
75,Muscle Machine Inc,2125557413,75
76,"Clover Collections, Co.",+353 1862 1555,76
77,CAF Imports,+34 913 728 555,77
78,"AV Stores, Co.",(171) 555-1555,78
79,Heintze Collectables,86 21 3555,79
80,Microscale Inc.,2125551957,80
81,Boards & Toys Co.,3105552373,81
82,"Iberia Gift Imports, Corp.",(95) 555 82 82,82
83,Signal Collectibles Ltd.,4155554312,83
84,Mini Caravy,88.60.1555,84
85,Signal Gift Stores,7025551838,85
86,"Norway Gifts By Mail, Co.",+47 2212 1555,86
87,Rovelli Gifts,035-640555,87
88,"Australian Collectables, Ltd",61-9-3844-6555,88
89,Gift Ideas Corp.,2035554407,89
90,"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,90
91,Royale Belge,(071) 23 67 2555,91
92,Auto-Moto Classics Inc.,6175558428,92
